bank_holiday_id,date,division,title,notes,bunting
188363644846,2028-05-01,northern-ireland,Early May bank holiday,,True
440403754405,2028-05-01,scotland,Early May bank holiday,,True
469988390179,2028-05-29,england-and-wales,Spring bank holiday,,True
698002299386,2028-05-29,northern-ireland,Spring bank holiday,,True
698082012370,2028-05-29,scotland,Spring bank holiday,,True
46605125628,2028-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),,False
450653877303,2028-08-07,scotland,Summer bank holiday,,True
140773577516,2028-08-28,england-and-wales,Summer bank holiday,,True
712159412776,2028-08-28,northern-ireland,Summer bank holiday,,True
312071779604,2028-11-30,scotland,St Andrew’s Day,,True
136999944679,2028-12-25,england-and-wales,Christmas Day,,True
162168935717,2028-12-25,northern-ireland,Christmas Day,,True
151046047586,2028-12-25,scotland,Christmas Day,,True
282480128645,2028-12-26,england-and-wales,Boxing Day,,True
407420612114,2028-12-26,northern-ireland,Boxing Day,,True
908786761686,2028-12-26,scotland,Boxing Day,,True
